Nom_Barri,diff_renda,diff_lloguer,diff_regio_rica,diff_bcn,diff_joves,diff_hut,diff_juridic,diff_edu
la Font de la Guatlla,556.7857142857144,0.48363636363636364,-2.9760121138561192e-6,-0.007729858143733903,-4.4116820199692486e-4,0.08431372588686915,0.004948546621426633,0.007206160177678208
Hostafrancs,514.1125000000002,0.5627272727272729,6.293021122959194e-4,-0.008547476162478713,-2.9595420347472423e-6,-0.008600658498795368,0.0018233849589934098,0.010487142904540508
la Bordeta,526.605769230769,0.8109090909090909,5.548403226339713e-4,-0.008010637422051426,0.0016211710451894568,-0.005167462212932568,0.006125083068895217,0.010154066867022908
Sants - Badal,449.7421875,0.5445454545454546,4.284019610568946e-4,-0.006699384638410899,5.292639373880526e-4,-0.001066229136404584,0.0027297818171474106,0.008856954766560355
Sants,565.6206896551726,0.5781818181818181,3.6962573019193627e-4,-0.011075875901978083,0.002313719009593354,-0.009981942134602604,0.0011645151806831306,0.0077545284067661695
les Corts,686.5,0.6272727272727271,6.210006073137691e-4,-0.005428786040825029,-6.847433684871645e-4,-0.0015658560320298553,6.493515928510477e-4,0.007888531225223856
la Maternitat i Sant Ramon,589.4250000000002,0.5572727272727274,4.15526654368965e-4,-0.005272867056361768,-0.0010462835000099064,-2.2324707042928327e-4,2.5802342314674986e-5,0.007701566875345572
Pedralbes,944.4642857142862,0.5763636363636365,5.841140568651649e-4,-0.004836222540284518,-0.001699825550565298,-6.028213093355923e-4,-0.002865746335786489,0.004825021698864593
"Vallvidrera, el Tibidabo i les Planes",1010.4583333333335,0.35727272727272724,0.0018915301839600705,-0.004299916411432281,-0.0010986662714395023,-5.013539763695547e-4,-6.134182963451265e-4,0.004546597654226275
Sarrià,960.2890625,0.6272727272727271,7.713117875960532e-4,-0.005232115161935225,-0.00155519904374882,0.0033068578282723616,9.271426417007353e-4,0.00559163314056672
les Tres Torres,1077.9886363636365,0.5654545454545453,2.3874073988098406e-5,-0.0025627752377718528,-8.236067704850775e-4,0.0014428716649276965,-1.923895717310294e-4,0.0050939369251573104
Sant Gervasi - la Bonanova,1032.520833333333,0.6990909090909089,0.0013794236250651009,-0.006312493754356186,0.0011243720723280004,0.022353538487662788,8.113125313993497e-4,0.007056960455535227
Sant Gervasi - Galvany,936.2459677419356,0.65,0.0018154485701497038,-0.007180639244746734,0.002096478448491887,0.016668268435844773,0.0033564898902244213,0.007127338367594155
el Putxet i el Farró,799.1513157894738,0.6663636363636364,0.0011857451518470605,-0.006070373981875698,6.085983099693076e-4,0.019085746576779066,0.001204549588508838,0.008180207911133693
Vallcarca i els Penitents,586.625,0.6481818181818183,4.994797965752106e-4,-0.00612615297660799,3.741724893324222e-4,-0.0028741072905942855,0.0010446285991142987,0.008287447155018274
el Coll,515.8000000000002,0.52,3.455737512804067e-4,-0.006239866976346348,6.95000818364433e-5,-0.0029930499640244213,-3.124860497299292e-5,0.008199286586950677
la Salut,619.3875000000003,0.5918181818181818,5.857198767056238e-4,-0.00686206056748524,-3.9601690524868895e-4,-0.002153871996224172,1.4791931072434539e-5,0.008379958849924646
la Vila de Gràcia,702.4618055555554,0.6590909090909091,0.0020337540173222196,-0.007977460717935725,-3.686712707412221e-4,0.008427915963077506,0.0024391800277952604,0.010404544286121219
el Camp d'en Grassot i Gràcia Nova,602.8599999999997,0.6154545454545454,9.351304758809271e-4,-0.00912624682088053,0.002277603184475985,-0.00502601385910008,0.0014622092151863008,0.008843976156136706
el Baix Guinardó,528.5789473684208,0.579090909090909,6.718775843865623e-4,-0.005983389000346828,8.883252186889873e-4,-0.003829635904164868,-0.0010257842992763878,0.008938608186681796
Can Baró,519.75,0.6009090909090911,0.0010574369237412334,-0.005301917396498157,0.0017467296117633173,0.0054504828660075265,-6.25507349980513e-4,0.009329806764175184
el Guinardó,484.76999999999975,0.5690909090909091,4.7680513741590327e-4,-0.006406588752997716,8.245057965549585e-4,-7.942685325893881e-4,7.896276140950606e-4,0.009059926165349265
la Font d'en Fargues,661.0714285714284,0.4854545454545454,6.178119648174881e-4,-0.002409411064980793,-1.80039054742262e-4,-3.0326956638456116e-4,8.536445411264891e-5,0.00834094392154051
el Carmel,392.52272727272725,0.4854545454545454,4.8766949849420315e-4,-0.0047829286280861635,-5.423951814502364e-4,3.401694603420713e-5,7.316437388590115e-4,0.006715571215839409
la Teixonera,436.578125,0.6009090909090911,7.003887017652371e-4,-0.0048895302873417645,2.2039692624190865e-4,-0.0053835677329794425,4.7066386182488654e-4,0.008157691205889576
Sant Genís dels Agudells,332.75,0.4090909090909091,7.415053872830358e-4,-0.006984457043196108,0.002731401589474472,-0.002695428446666947,-7.987782030155396e-4,0.006838332616690648
Montbau,411.46875,0.5636363636363637,9.357358164498418e-5,-0.0059511556054502425,0.005273620326814216,0,-0.0013020313801288966,0.009868764767687027
la Vall d'Hebron,551.625,0.49000000000000005,4.339983642756926e-4,-0.0010131604622422574,5.581753893302482e-4,-1.057512026649564e-4,-6.338680429442937e-4,0.0058292703712684475
la Clota,677.625,0.8818181818181817,0.0017797552836484984,-0.0010864952041422572,-0.020227533754759126,0,-5.168279169767606e-4,0.015432040395635154
Horta,509.14880952380963,0.48818181818181827,1.7544075656483038e-4,-0.007970601496847312,0.0020275073185408695,-4.5094765139803934e-4,4.587640148015724e-5,0.006145973955625086
Vilapicina i la Torre Llobeta,432.18421052631584,0.5263636363636363,1.972830628781154e-4,-0.004002410040697091,-5.870680955282093e-4,0.004152748314860011,0.0011749948805573167,0.006265064938395043
Porta,379.4791666666665,0.4254545454545454,-1.8143007330033088e-5,-0.009324518589275377,0.0024695633644211483,0.004352001153941261,-2.7895639337735767e-4,0.004162164673750874
el Turó de la Peira,357.47500000000014,0.47454545454545455,5.6884094138870415e-6,-0.0030867826250557894,0.002338510294307977,8.203580042330473e-4,-7.743040877094265e-4,0.006262110375566485
Can Peguera,394.625,0.2863636363636363,1.4781258640124244e-5,-0.0016116456805348235,-0.0010710138454667257,0,3.183699458771093e-4,0.0024531073446327693
la Guineueta,437.5340909090912,0.38727272727272727,-8.477271219059155e-7,-0.0013642300490806058,-5.577819364257746e-4,-2.2236790350072103e-5,9.802480027446918e-5,0.005465159362383651
Canyelles,458.60000000000014,0.2727272727272727,9.36742312739238e-6,-2.2155081130345033e-4,-0.0021205541176073815,0.002119473427189021,-2.8648245967614287e-4,0.004183027359167302
les Roquetes,314.9749999999999,0.48090909090909084,1.236574617245325e-4,-0.005475817415450191,-0.0011031559154970395,-1.655860309645244e-4,7.678059195443769e-5,0.0044362159646168684
Verdun,335.890625,0.45363636363636367,4.1011707033098644e-5,-0.005476078656105038,-2.6091403851395966e-4,-2.769075916751576e-4,2.2672660935018027e-4,0.005092887848054819
la Prosperitat,372.25,0.5018181818181818,3.1356104475064396e-4,-0.003024634531727155,-7.161057379945407e-4,-7.737248857413443e-5,4.8365569851108414e-4,0.0049683153012867595
la Trinitat Nova,380.4499999999998,0.35545454545454547,-1.6150135269945323e-4,-0.005458235609010276,0.0010590274640752933,0,-0.0017310066357643604,0.005037248787726283
Torre Baró,426,0.4027272727272727,3.4000721500721497e-4,-0.0035892338187805016,-0.0026534477427334587,0,-0.018640360897125435,0.004169417668830425
Ciutat Meridiana,275.5625000000001,0.34727272727272723,-4.353890202838202e-5,-0.0018462930893050288,-0.002022447378776848,0,-0.004809149736275213,0.0023550312960692
Vallbona,390.5,0.5590909090909091,-9.151414309484194e-4,-0.006861342056244607,-0.008054887329394914,0,-5.692279582285067e-4,9.493489724132233e-4
la Trinitat Vella,349.07500000000005,0.5390909090909091,1.8341663204704523e-4,-0.0031870057800505005,-0.00203168057502133,7.175450171642135e-4,-0.001196142327375418,0.004614712220902422
Baró de Viver,419.25,0.41181818181818175,4.052237708005238e-7,-0.008511078119442805,-0.0027289483133963234,0,-4.4964028776978425e-4,0.003465523788901287
el Bon Pastor,417.7678571428571,0.3009090909090908,-2.792627995753024e-5,-0.013495879241815705,0.0010932749474969778,6.745169523097631e-4,4.47755881502615e-5,0.003850393514776344
Sant Andreu,508.04487179487205,0.4936363636363636,2.550589673267949e-4,-0.002682240590420171,-0.0033969996019958095,8.134884924367909e-4,-4.239042707536757e-4,0.00724986150502786
la Sagrera,458.83749999999986,0.4572727272727272,2.2402889913372554e-4,-0.005213959940960244,-4.726236172159726e-4,-1.1446264841421685e-4,4.3197321754777823e-4,0.00842463649513654
el Congrés i els Indians,472.7083333333335,0.4509090909090908,3.6413425406655735e-4,-0.0036984987533713264,0.0015724734955229857,-3.913951515012359e-4,6.835049616443651e-4,0.009663871547391574
Navas,502.1923076923076,0.5254545454545454,7.825885646819854e-4,-0.004601027448615108,6.339177409590529e-4,0.004713523696465119,2.920484505987998e-4,0.009067311590796644
el Camp de l'Arpa del Clot,542.7649999999999,0.5681818181818182,0.0010699402365514084,-0.007929692671630195,0.001716195224404271,0.007083056024077471,3.664487253872648e-5,0.010315452731700763
el Clot,576.6102941176468,0.5472727272727272,0.0011164419262009004,-0.006617475623644176,7.828579892988352e-4,0.0010144174147456442,2.611149045263379e-4,0.010108090249461594
el Parc i la Llacuna del Poblenou,667.1111111111111,0.7245454545454546,0.0014575418537934952,-0.006667486633520825,-0.0031903540559909682,-0.010089339382913723,8.22311451482582e-4,0.010663503090949185
la Vila Olímpica del Poblenou,740.8499999999999,0.6945454545454546,0.0013235055583972518,-0.005141479709463459,0.002217958779552476,-0.0035079660254647227,-0.0012301535134570385,0.005023493719531046
el Poblenou,703.26875,0.7018181818181817,0.002411779576234914,-0.007746096745590569,-0.002342678965094347,0.024124203205385632,0.0010906462196577163,0.012119704831489614
Diagonal Mar i el Front Marítim del Poblenou,684.7499999999998,1.0190909090909093,7.010488842432751e-4,-0.005382557922192538,-0.006460307837577267,3.6452336672536986e-4,-0.004739441259371977,0.0061268994417090165
el Besòs i el Maresme,397.96153846153857,0.49272727272727274,5.018290201785653e-4,-0.011350444882157518,0.002985994136680231,-0.00445632162534812,0.0010750942762296097,0.006574619695810968
Provençals del Poblenou,540.40625,0.6527272727272728,7.961588336249586e-4,-0.006257928702988446,-0.0017763671079393916,-6.567647348576511e-5,6.713938328304936e-4,0.00959609550821363
Sant Martí de Provençals,442.2013888888889,0.42636363636363633,6.250468394118546e-4,-0.004611056339041736,7.00269540948531e-4,-8.031788413498743e-4,0.001589287674875287,0.008045626881970136
la Verneda i la Pau,416.6547619047619,0.5318181818181817,2.845457786037277e-4,-0.005116162869744673,0.0011241357246409012,-3.4343493802718034e-4,0.005689569841917395,0.007062005643513536
